Critical Facility,Amenity,"October 23, 2024 12:00 AM","October 23, 2024 1:00 AM","October 23, 2024 2:00 AM","October 23, 2024 3:00 AM","October 23, 2024 4:00 AM","October 23, 2024 5:00 AM"
Camaligan Fish Port (PFDA) office,miscellaneous,High,High,High,High,High,High
Dugcal Barangay Hall,government,Low,Low,Low,Low,Low,Low
St.Teresa of Calcuta,place_of_worship,None,None,None,None,None,None
Marupit Barangay Chapel,place_of_worship,High,High,High,High,High,High
Petite L'e Tudiant Learning Center,school,High,High,High,High,High,High
Kingdom Hall of Jehovas,place_of_worship,High,High,High,High,High,High
Jehovas Witnesses,place_of_worship,High,High,High,High,High,High
Rovalie Learning School,school,High,High,High,High,High,High
Marupit Main Evacuation Center,evacuation_center,Low,Low,Low,Low,Low,Low
San Ramon Chapel,place_of_worship,High,High,High,High,High,High
San Juan San Ramon Barangay Health Center,hospital,High,High,High,High,High,High
San Juna-San Ramon Barangay Hall,government,High,High,High,High,High,High
Our Lady of Lourdes,place_of_worship,Moderate,Low,Moderate,Low,Low,Low
San Mateo Barangay Hall,government,Low,Low,Low,Low,Low,Low
San Mateo Barangay Hall,government,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
United Methodist Day Care Center,school,None,None,None,None,None,None
San Mateo Barangay Chapel,place_of_worship,None,None,None,None,None,None
San Mateo Health Center (Rent),hospital,None,None,None,None,None,None
Sto.Tomas Barangay Chapel,place_of_worship,None,None,None,None,None,None
Sto.Tomas Barangay Hall,government,None,None,Low,None,None,None
San Lucas Barangay Hall,government,None,None,None,None,None,None
San Pablo Chapel,place_of_worship,None,None,None,None,None,None
San Jose Chapel,place_of_worship,High,High,High,High,High,High
San Jose-San Pablo Barangay Hall,government,High,High,High,High,High,High
Municipal Health Office,hospital,Low,Low,Low,Low,Low,Low
Birthing Center,hospital,Moderate,Moderate,Moderate,Moderate,Moderate,Low
Municipal Nutrition Action Office,hospital,Moderate,Low,Moderate,Moderate,Low,Low
Sto.Domingo Barangay Chapel,place_of_worship,Low,Low,Low,Low,Low,Low
Sto.Dormingo Barangay Hall (2F),government,High,High,High,High,High,High
Sto.Domingo Barangay Health Center (1F),hospital,High,High,High,High,High,High
St.Anthony of Padua Parish Church,place_of_worship,Low,Low,Low,Low,Low,Low
Parish Multipurpose Building,place_of_worship,None,None,None,None,None,None
Camaligan PNP Station,police_station,High,High,High,High,High,Moderate
Catalino Abilay Building,government,High,High,High,High,High,High
Camaligan People's Plaza - Multipurpose Area,government,High,High,High,High,High,High
LGU Camaligan Main Building,government,High,High,High,High,High,High
Cost Guard Outpost,miscellaneous,High,High,High,High,High,High
Sangguniang Bayan Building,government,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Municipal Social Welfare and Development Officce,government,High,High,High,High,High,High
CASURECO I Office,miscellaneous,None,None,None,None,None,None
San Marcos Barangay Chapel,place_of_worship,Low,Low,Low,Low,Low,Low
San Marcos Barangay Hall (Overpass),government,Low,Low,Low,Low,Low,Low
NAWASA Water Reservoir (Pumping Station),miscellaneous,High,High,High,High,High,High
San Roque Barangay Health Station,hospital,High,High,High,High,High,High
San Roque Chapel,place_of_worship,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
San Roque Barangay Hall (2F),government,High,High,High,High,High,High
Barangay Chapel,place_of_worship,None,None,None,None,None,None
Camaligan Fire Station,fire_station,High,High,High,High,High,High
Dugcal Barangay Health Station,hospital,High,High,High,High,High,High
Marupit Barangay Health Station,hospital,High,High,High,High,High,High
Municipal Materials Recovery Facility,miscellaneous,High,High,High,High,High,High
Tarosanan Barangay Health Station,hospital,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
Camaligan Municipal Health Office,hospital,High,High,High,High,High,High
Sua Day Care Center,school,Moderate,Moderate,Moderate,Moderate,Low,Low
Marupit Elementary School,school,High,Moderate,High,Moderate,Moderate,Moderate
Tampac Chapel,place_of_worship,High,High,High,High,Moderate,Moderate
San Roque Elementary School,school,High,High,High,High,High,High
Sua Elementary School,school,High,Moderate,High,Moderate,Moderate,Moderate
Camaligan Central School,school,Low,Low,Low,Low,Low,Low
Camaligan National High School,school,High,High,High,High,High,High
Dugcal Elementary School,school,High,High,High,High,High,High
Tarosanan-San Francisco Elementary School,school,High,High,High,High,High,High
Sitio Tampac Multipurpose Building,government,High,High,High,High,Moderate,Moderate
Sua Evacuation Center,evacuation_center,High,High,High,High,Moderate,Moderate
Sua-Sitio Tampac Day Care Center,evacuation_center,High,High,High,High,Moderate,Moderate
Camaligan Fishing Port,miscellaneous,High,High,High,High,High,High
Church of Latter Day,place_of_worship,High,High,High,High,High,High
Iglesia Ni Cristo,place_of_worship,High,High,High,High,High,High
