x,y,Elevation
519002.802971435,1507162.90403418,168.15381
519012.802971435,1507162.90403418,168.15381
519022.802971435,1507162.90403418,168.15381
519032.802971435,1507162.90403418,168.15381
519042.802971435,1507162.90403418,168.15381
519052.802971435,1507162.90403418,168.15381
518922.802971435,1507152.90403418,168.15381
518932.802971435,1507152.90403418,168.15381
518942.802971435,1507152.90403418,168.15381
518952.802971435,1507152.90403418,168.15381
518962.802971435,1507152.90403418,168.15381
518972.802971435,1507152.90403418,168.15381
518982.802971435,1507152.90403418,168.15381
518992.802971435,1507152.90403418,168.15381
519002.802971435,1507152.90403418,168.15381
519012.802971435,1507152.90403418,168.15381
519022.802971435,1507152.90403418,168.15381
519032.802971435,1507152.90403418,168.15381
519042.802971435,1507152.90403418,168.15381
519052.802971435,1507152.90403418,168.15381
519062.802971435,1507152.90403418,168.15381
519072.802971435,1507152.90403418,168.15381
519082.802971435,1507152.90403418,168.15381
519092.802971435,1507152.90403418,168.15381
519102.802971435,1507152.90403418,168.15381
519112.802971435,1507152.90403418,168.15381
519122.802971435,1507152.90403418,173.76999
519132.802971435,1507152.90403418,196.75412
519142.802971435,1507152.90403418,204.41216
519152.802971435,1507152.90403418,205.43866
519162.802971435,1507152.90403418,203.31987
519172.802971435,1507152.90403418,201.90987
519182.802971435,1507152.90403418,201.40009
519192.802971435,1507152.90403418,201.71303
519202.802971435,1507152.90403418,202.22716
519212.802971435,1507152.90403418,203.89029
519222.802971435,1507152.90403418,205.95676
519232.802971435,1507152.90403418,208.26202
519242.802971435,1507152.90403418,210.5809
518852.802971435,1507142.90403418,168.15381
518862.802971435,1507142.90403418,168.15381
518872.802971435,1507142.90403418,168.15381
518882.802971435,1507142.90403418,168.15381
518892.802971435,1507142.90403418,168.15381
518902.802971435,1507142.90403418,168.15381
518912.802971435,1507142.90403418,168.15381
518922.802971435,1507142.90403418,168.15381
518932.802971435,1507142.90403418,168.15381
518942.802971435,1507142.90403418,168.15381
518952.802971435,1507142.90403418,168.15381
518962.802971435,1507142.90403418,168.15381
518972.802971435,1507142.90403418,168.15381
518982.802971435,1507142.90403418,168.15381
518992.802971435,1507142.90403418,168.15381
519002.802971435,1507142.90403418,168.15381
519012.802971435,1507142.90403418,168.15381
519022.802971435,1507142.90403418,168.15381
519032.802971435,1507142.90403418,168.15381
519042.802971435,1507142.90403418,168.15381
519052.802971435,1507142.90403418,168.15381
519062.802971435,1507142.90403418,168.15381
519072.802971435,1507142.90403418,168.15381
519082.802971435,1507142.90403418,168.15381
519092.802971435,1507142.90403418,168.15381
519102.802971435,1507142.90403418,168.15381
519112.802971435,1507142.90403418,168.15381
519122.802971435,1507142.90403418,168.15381
519132.802971435,1507142.90403418,180.72356
519142.802971435,1507142.90403418,188.13031
519152.802971435,1507142.90403418,191.96974
519162.802971435,1507142.90403418,193.94696
519172.802971435,1507142.90403418,196.42017
519182.802971435,1507142.90403418,200.92384
519192.802971435,1507142.90403418,202.4874
519202.802971435,1507142.90403418,202.63283
519212.802971435,1507142.90403418,203.89029
